url_length,hostname_length,dot_count,slash_count,has_ip,has_special_chars,subdomain_count,has_https,has_sensitive_words,directory_count,query_param_count,is_shortened,Label
44,0,6,1,0,1,-1,0,0,2,0,0,1
50,0,2,2,0,1,-1,0,0,3,0,0,0
38,0,1,3,0,1,-1,0,0,4,0,0,0
27,0,2,1,0,0,-1,0,0,2,0,0,0
22,15,3,2,0,0,2,0,0,0,0,0,0
35,0,2,1,0,0,-1,0,0,2,0,0,0
55,0,3,4,0,0,-1,0,1,5,0,0,1
41,0,2,2,0,1,-1,0,0,3,0,0,0
27,20,2,2,0,0,1,0,0,0,0,0,0
23,0,2,2,0,0,-1,0,0,2,0,0,0
26,0,2,2,0,0,-1,0,0,2,0,0,0
47,0,4,4,0,0,-1,0,0,2,1,0,1
18,11,2,2,0,0,1,0,0,0,0,0,0
22,15,2,2,0,0,1,0,0,0,0,0,0
73,0,1,4,0,1,-1,0,0,5,0,0,0
34,27,2,2,0,1,1,0,0,0,0,0,0
20,13,2,2,0,0,1,0,0,0,0,0,0
26,0,2,1,0,0,-1,0,0,2,0,0,0
38,0,3,3,0,0,-1,0,0,4,0,0,0
29,0,2,1,0,0,-1,0,0,2,0,0,1
64,0,2,2,0,1,-1,0,0,3,1,0,0
98,0,2,4,0,1,-1,0,0,5,1,0,0
13,0,1,1,0,0,-1,0,0,1,0,0,0
85,0,1,3,0,0,-1,0,0,4,1,0,0
25,18,2,2,0,0,1,0,0,0,0,0,0
46,0,3,1,0,0,-1,0,0,2,1,0,0
37,0,2,1,0,0,-1,0,0,2,1,0,0
56,0,2,3,0,0,-1,0,0,4,0,0,0
23,0,1,1,0,0,-1,0,0,1,0,0,1
37,0,3,2,0,0,-1,0,0,3,0,0,0
64,0,4,3,0,0,-1,0,0,4,0,0,1
68,0,2,3,0,1,-1,0,0,4,0,0,0
19,0,2,2,0,0,-1,0,0,2,0,0,0
25,0,3,2,0,0,-1,0,0,2,0,0,0
30,0,1,1,0,0,-1,0,0,1,0,0,0
31,24,2,2,0,0,1,0,0,0,0,0,0
22,15,3,2,0,0,2,0,0,0,0,0,0
68,0,2,3,0,1,-1,0,0,4,0,0,0
45,0,2,3,0,0,-1,0,0,4,1,0,0
20,13,2,2,0,0,1,0,0,0,0,0,0
19,12,2,2,0,0,1,0,0,0,0,0,0
30,0,2,1,0,0,-1,0,0,2,0,0,1
26,0,1,1,0,0,-1,0,0,2,0,0,1
33,0,2,1,0,0,-1,0,0,2,0,0,1
50,0,2,2,0,0,-1,0,0,3,1,0,0
23,16,3,2,0,0,2,0,0,0,0,0,0
31,0,1,1,0,0,-1,0,0,2,1,0,0
54,0,3,4,0,0,-1,0,0,5,0,0,0
36,0,3,3,0,0,-1,0,0,3,0,0,0
29,0,2,1,0,1,-1,0,0,2,0,0,0
56,0,2,4,0,1,-1,0,0,5,0,0,0
58,0,2,4,0,1,-1,0,0,5,0,0,0
36,0,2,2,0,1,-1,0,0,3,0,0,0
108,0,3,5,0,1,-1,0,0,6,1,0,0
28,21,2,2,0,0,1,0,0,0,0,0,0
47,0,1,2,0,1,-1,0,0,3,0,0,0
87,0,3,7,0,1,-1,0,0,8,0,0,0
25,18,2,2,0,0,1,0,0,0,0,0,0
19,12,2,2,0,0,1,0,0,0,0,0,0
31,0,1,2,0,1,-1,0,0,3,0,0,0
21,14,2,2,0,0,1,0,0,0,0,1,0
44,0,2,2,0,1,-1,0,0,3,0,0,0
36,0,1,5,0,0,-1,0,0,5,0,0,1
31,0,1,1,0,0,-1,0,0,2,1,0,0
40,0,1,2,0,1,-1,0,0,3,0,0,0
122,0,1,3,0,1,-1,0,0,3,0,0,0
23,16,2,2,0,0,1,0,0,0,0,0,0
21,14,3,2,0,0,2,0,0,0,0,0,0
29,0,1,2,0,1,-1,0,0,3,0,0,0
158,0,2,4,0,1,-1,0,1,5,2,0,1
50,0,3,1,0,0,-1,0,0,2,0,0,1
49,0,2,2,0,1,-1,0,0,3,0,0,0
23,16,3,2,0,0,2,0,0,0,0,0,0
27,20,2,2,0,0,1,0,0,0,0,0,0
22,15,2,2,0,0,1,0,0,0,0,0,0
22,15,2,2,0,0,1,0,0,0,0,0,0
23,16,2,2,0,0,1,0,0,0,0,0,0
50,0,1,3,0,1,-1,0,0,3,1,0,0
15,0,1,1,0,0,-1,0,0,1,0,0,0
35,0,2,1,0,0,-1,0,0,2,1,0,0
107,0,2,2,0,0,-1,0,0,3,1,0,1
21,14,2,2,0,0,1,0,0,0,0,0,0
45,0,3,2,0,1,-1,0,0,3,0,0,0
56,0,4,2,0,1,-1,0,0,3,0,0,1
34,27,2,2,0,0,1,0,0,0,0,0,0
106,0,6,3,0,1,-1,0,1,3,2,0,1
88,0,1,5,0,1,-1,0,0,6,0,0,0
21,14,2,2,0,0,1,0,0,0,0,0,0
39,0,2,3,0,1,-1,0,0,4,0,0,0
22,15,2,2,0,0,1,0,0,0,0,0,0
46,0,3,2,0,0,-1,0,0,3,0,0,0
37,0,1,2,0,1,-1,0,0,3,0,0,0
26,0,2,3,0,0,-1,0,0,3,0,0,0
92,0,3,8,0,1,-1,0,0,9,0,0,1
28,0,1,1,0,0,-1,0,0,2,0,0,1
40,0,3,2,0,1,-1,0,0,3,0,0,1
